Question,Answer,T1,T2,T3,T4,T5,Correctness
"Title of address for bishops, abbreviated Exc.",Apostolic,no,no,no,no,no,0.0
This nickname used on Montana license plates is also the name of a popular ski resort,Awnsers,no,no,no,no,no,0.0
Number of House seats up for election in 1988,435,no,no,no,no,no,0.0
In June he announced he would not seek a second term as president of Austria,Klaus,no,no,no,no,no,0.0
It's another word for the tip you give to a waiter or bellhop,TIP,no,no,no,no,no,0.0
"Uranium or titanium, for example",Metals,no,no,no,no,no,0.0
Ho Chi Minh is buried in this capital city,Hanoi,no,no,no,no,no,0.0
"2007: ""Growing up and the bumps along the way""",Coming of age,yes,yes,yes,yes,yes,1.0
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",,no,no,no,no,no,0.0
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Who,no,no,no,no,no,0.0
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok,no,no,no,no,no,0.0
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull,yes,yes,yes,yes,yes,1.0
Black ribbon streamers on a family's front door were once a sign of this,Funeral,no,no,no,no,no,0.0
Washington's state fish is the steelhead species of this,,no,no,no,no,no,0.0
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",BUN,no,no,no,no,no,0.0
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",Ash,no,no,no,no,no,0.0
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter,no,no,no,no,no,0.0
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,Syphilis,yes,yes,yes,yes,yes,1.0
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,TEA,yes,yes,yes,yes,yes,1.0
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",John Milledge,no,no,no,no,no,0.0
"A top-grossing animated film of 1961, a live-action remake was released in 1996",SnowWhite,no,no,no,no,no,0.0
"Formerly dementia praecox, this term does not mean a patient has more than one personality",Schizophrenia,no,no,no,no,no,0.0
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",New Year's Eve,no,no,no,no,no,0.0
Rhett Butler,Gone,no,no,no,no,no,0.0
"I'm confused, perplexed, absolutely this",Answer,no,no,no,no,no,0.0
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,White,no,no,no,no,no,0.0
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",KAMALA,no,no,no,no,no,0.0
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth.,no,no,no,no,no,0.0
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,French,no,no,no,no,no,0.0
Hi-yo ___ wedding anniversary,Silver,no,no,no,no,no,0.0
Woody Allen won 2 Oscars for this 1977 film,What is Annie Hall?,no,no,no,no,no,0.0
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Abdulaziz,no,no,no,no,no,0.0
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,Joe Lieberman,no,no,no,no,no,0.0
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa","""KINGEDY"".",no,no,no,no,no,0.0
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",Breasts,no,no,no,no,no,0.0
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Paul Newman,yes,yes,yes,yes,yes,1.0
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",ROBERTBURNS,yes,yes,yes,yes,yes,1.0
Lee Majors' role from 1981 to 1986,The Bionic Man,yes,yes,yes,yes,yes,1.0
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",William Howard Taft,no,no,no,no,no,0.0
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,Muses,no,no,no,no,no,0.0
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",RABBI,no,no,no,no,no,0.0
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",Blocs,no,no,no,no,no,0.0
California vegetable with a crown & a heart,Artichoke,yes,yes,yes,yes,yes,1.0
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA,no,no,no,no,no,0.0
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""",Salem.,yes,yes,yes,yes,yes,1.0
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,ITANRITCHIE,no,no,no,no,no,0.0
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""",Four Weddings and a Funeral,no,no,no,no,no,0.0
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:",Answer,no,no,no,no,no,0.0
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden,yes,yes,yes,yes,yes,1.0
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,Quilts,yes,yes,yes,yes,yes,1.0
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,Anson,no,no,no,no,no,0.0
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",Greenhouse,yes,yes,yes,yes,yes,1.0
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",",320>. ""ELIZABETH""",no,no,no,no,no,0.0
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,Medea,no,no,no,no,no,0.0
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,Swedish.,no,no,no,no,no,0.0
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,$1000. AWARDS,no,no,no,no,no,0.0
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Brown,no,no,no,no,no,0.0
"""Shutter Island"" & ""Revolutionary Road""",MartinScorsese,yes,yes,yes,yes,yes,1.0
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan,yes,yes,yes,yes,yes,1.0
"Change one letter in lord & make this verb meaning ""to pack up""",LEAVES,no,no,no,no,no,0.0
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria,no,no,no,no,no,0.0
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",Dante,no,no,no,no,no,0.0
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",What is oilrig worker?,yes,yes,yes,yes,yes,1.0
"A small fipple flute that, by its name, sounds like it only costs one cent",Whistler,no,no,no,no,no,0.0
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",Ellis,no,no,no,no,no,0.0
"Pilot somewhere over the Atlantic, May 20, 1927","$1000. ""CHALLENGE""",no,no,no,no,no,0.0
The 2 you'd find naturally in Siberia,Flowers,no,no,no,no,no,0.0
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,Usain.,no,no,no,no,no,0.0
What a catcher might eat his dinner on,Plate,yes,yes,yes,yes,yes,1.0
