title,generated_reference,IQ_1_ans1,IQ_1_ans2,IQ_1_ans3,IQ_1_llama_prob,IQ_2_ans1,IQ_2_ans2,IQ_2_ans3,IQ_2_llama_prob,IQ_3_ans1,IQ_3_ans2,IQ_3_ans3,IQ_3_llama_prob,DQ_ans1,DQ_ans2,DQ_ans3,DQ_ans4,DQ_ans5,DQ_llama_prob, IQ_1_llama_prob, IQ_2_llama_prob, IQ_3_llama_prob, DQ_llama_prob
North America,ATL,- UNITED STATES: Georgia,- UNITED STATES: Georgia,- UNITED STATES: Georgia,1.0,Hartsfield-Jackson Atlanta International Airport: Hartsfield Jackson Atlanta International Airport,Hartsfield-Jackson Atlanta International Airport: Hartsfield Jackson Atlanta International Airport,Hartsfield-Jackson Atlanta International Airport: Hartsfield-Jackson Atlanta International Airport,0.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,BOS,United States: Massachusetts,United States: Massachusetts,United States: MASSACHUSETTS,1.0,BOSTON LOGAN INTERNATIONAL  Boston Logan International Airport,LOGAN INTERNATIONAL AIRPORT,BOSTON Logan International Airport: Boston Logan International Airport,0.0,- NORTH AMERICA:,- NORTH AMERICA,- NORTH AMERICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,CLE,- UNITED STATES,United States: CLEVELAND,- UNITED STATES,0.6666666666666666,CLE: Cleveland Hopkins International Airport.,CLE: Cleveland Hopkins International Airport,CLE: Cleveland Hopkins International Airport,1.0,AMERICA: North America,AMERICA: North America,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,CLT,- UNITED STATES,- UNITED STATES,- UNITED STATES,1.0,CHARLOTTE/DOUGLAS INTL AIRPORT.,CHARLOTTE REGIONAL AIRPORT,CHARLOTTE REGIONAL AIRPORT.,1.0,- NORTH AMERICA,- NORTH AMERICA,- NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,CMH,- UNITED STATES: Ohio,- UNITED STATES: Ohio,- UNITED STATES: Ohio,1.0,Columbus International Airport: Columbus International Airport,Columbus International Airport,Columbus International Airport: Columbus International Airport,0.0,AFRICA: Africa,AFRICA: Africa,- NORTH AMERICA:,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,DFW,- UNITED STATES:,- UNITED STATES,United States: TEXAS,0.3333333333333333,DFW Airport: Dallas/Fort Worth International Airport,DFW Airport: Dallas Love Field is incorrect since it has a different code. <br><br>DFW Airport: Dallas/Fort Worth International Airport,DFW Airport: Dallas Love Field,0.5,- NORTH AMERICA,AMERICA: North America,North America: NORTH AMERICA,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,DEN,United States: COLORADO,United States: COLORADO,United States: COLORADO,1.0,DEN: Denver International Airport.,DEN: Denver International Airport.,DEN: Denver International Airport,1.0,North America: NORTH AMERICA,North America: NORTH AMERICA,North America: NORTH AMERICA,1.0,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,DTW,- USA: Detroit,- UNITED STATES,United States: Detroit,0.3333333333333333,Detroit Metropolitan Wayne County Airport: Detroit Metropolitan Wayne County Airport,Detroit Metropolitan Wayne County Airport: Detroit Metropolitan Airport,Detroit Metropolitan Wayne County Airport: Detroit Metropolitan Wayne County Airport,0.0,North America: NORTH AMERICA,- NORTH AMERICA,North America:,0.3333333333333333,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,EWR,United States: NEW JERSEY,United States: NEW JERSEY,United States: NEW JERSEY,1.0,NEW JERSEY: Newark Liberty International Airport,NEW JERSEY: Newark Liberty International Airport,NEW JERSEY: Newark Liberty International Airport,1.0,- NORTH AMERICA,North America:,North America:,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
North America,FLL,- United States,United States: Florida,United States: Florida,0.6666666666666666,FORT LAUDERDALE-HOLLYWOOD INTL.,FORT LAUDERDALE HALLANDALE BEACH INTERNATIONAL  FORT LAUDERDALE HALLANDALE BEACH INTERNATIONAL AIRPORT,FORT LAUDERDALE-HOLLYWOOD INTERNATIONAL  Fort Lauderdale Hollywood International Airport,0.0,- NORTH AMERICA,- NORTH AMERICA,AFRICA,0.6666666666666666,yes,yes,yes,yes,yes,0.5,0.0,0.0,0.0,1.0
