Question,Answer,T1,T2,T3,T4,T5,Correctness
"Title of address for bishops, abbreviated Exc.",Excellency,yes,yes,yes,yes,yes,1.0
This nickname used on Montana license plates is also the name of a popular ski resort,Big Sky,yes,yes,yes,yes,yes,1.0
Number of House seats up for election in 1988,all of them (435),yes,yes,yes,yes,yes,1.0
In June he announced he would not seek a second term as president of Austria,(Kurt) Waldheim,no,no,no,no,no,0.0
It's another word for the tip you give to a waiter or bellhop,a gratuity,yes,yes,yes,yes,yes,1.0
"Uranium or titanium, for example",an Element,no,no,no,no,no,0.0
Ho Chi Minh is buried in this capital city,Hanoi,no,no,no,no,no,0.0
"2007: ""Growing up and the bumps along the way""",Juno,yes,yes,yes,yes,yes,1.0
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",Ambrose Bierce,yes,yes,yes,yes,yes,1.0
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Marian Anderson,yes,yes,yes,yes,yes,1.0
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok,yes,yes,yes,yes,yes,1.0
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull,yes,yes,yes,yes,yes,1.0
Black ribbon streamers on a family's front door were once a sign of this,mourning,yes,yes,yes,yes,yes,1.0
Washington's state fish is the steelhead species of this,trout,no,no,no,no,no,0.0
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",bread,yes,yes,yes,yes,yes,1.0
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",a wand,no,no,no,no,no,0.0
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter the Great,yes,yes,yes,yes,yes,1.0
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis,yes,yes,yes,yes,yes,1.0
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,coffee,no,no,no,no,no,0.0
