Question,Answer
"Title of address for bishops, abbreviated Exc.",Apostolic
This nickname used on Montana license plates is also the name of a popular ski resort,Awnsers
Number of House seats up for election in 1988,435
In June he announced he would not seek a second term as president of Austria,Klaus
It's another word for the tip you give to a waiter or bellhop,TIP
"Uranium or titanium, for example",Metals
Ho Chi Minh is buried in this capital city,Hanoi
"2007: ""Growing up and the bumps along the way""",Coming of age
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Who
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull
Black ribbon streamers on a family's front door were once a sign of this,Funeral
Washington's state fish is the steelhead species of this,
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",BUN
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",Ash
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,Syphilis
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,TEA
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",John Milledge
"A top-grossing animated film of 1961, a live-action remake was released in 1996",SnowWhite
"Formerly dementia praecox, this term does not mean a patient has more than one personality",Schizophrenia
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",New Year's Eve
Rhett Butler,Gone
"I'm confused, perplexed, absolutely this",Answer
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,White
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",KAMALA
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth.
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,French
Hi-yo ___ wedding anniversary,Silver
Woody Allen won 2 Oscars for this 1977 film,What is Annie Hall?
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Abdulaziz
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,Joe Lieberman
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa","""KINGEDY""."
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",Breasts
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Paul Newman
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",ROBERTBURNS
Lee Majors' role from 1981 to 1986,The Bionic Man
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",William Howard Taft
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,Muses
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",RABBI
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",Blocs
California vegetable with a crown & a heart,Artichoke
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""",Salem.
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,ITANRITCHIE
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""",Four Weddings and a Funeral
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:",Answer
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,Sweden
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,Quilts
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,Anson
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",Greenhouse
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",",320>. ""ELIZABETH"""
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,Medea
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,Swedish.
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,$1000. AWARDS
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",Brown
"""Shutter Island"" & ""Revolutionary Road""",MartinScorsese
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan
"Change one letter in lord & make this verb meaning ""to pack up""",LEAVES
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",Dante
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",What is oilrig worker?
"A small fipple flute that, by its name, sounds like it only costs one cent",Whistler
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",Ellis
"Pilot somewhere over the Atlantic, May 20, 1927","$1000. ""CHALLENGE"""
The 2 you'd find naturally in Siberia,Flowers
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,Usain.
What a catcher might eat his dinner on,Plate
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",Sir
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,Tombich
282 feet below sea level in Death Valley,Badwater
"A sudden, violent windstorm",TORNADO
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",Carole
"He gave us the classic tale of Cossack life ""Taras Bulba""",LEONGORIUS
This racket sport is named for the Duke of Beaufort's country seat,AWNSER
"Put tomato sauce, cheese & pepperoni on an English muffin & you've got a mini one of these",PIZZA
This word describing how a ribbon of syrup or fruit is put into ice cream often appears in the name,Swirl
"He's the killer in Patricia Cornwell's bestseller ""Portrait of a Killer""; Case Closed",Jeffrey Dahmer
An author's last Italian holiday is the subject of this Thomas Mann novella,Death in Venice
The Battle of Bosworth,
"Buddy Ebsen, Lee Meriwether & Mark Shera; a Quinn Martin production",Man from U.N.C.L.E.
"Cartoonist David Low created this colonel, a symbol of stuffy views & blind patriotism",Stalwart
"Stolen in 1792 but later recovered, the Regent Diamond is on display in this French museum",LOUVRE
"1989: This CEO ""& Me""",Steve Jobs
"A placer is a deposit of sand containing metals such as this, which brought an influx to Placer County, California",$1000. AWNSERS
"With 82% of the vote, she was elected Chicago's first female mayor in 1979 & led the city for 4 years",Jane
"The name of Mexico's Popocatepetl means ""smoking mountain"" in the language of this people",Aztecs
"In one story, St. Margaret was swallowed by Satan in the form of this beast; she should have called St. George",Dragon
"Related to the boa constrictor, this largest South American snake is also called the water boa",Anaconda
America's first public high school was opened in 1821 in this New England capital,BOSTON
"Karl F. Rulvagg, Floyd Bjornsterne Olson, Jacob Aall Ottesen Preus",Who
These Scandinavian beings often lurk under bridges; just ask the 3 Billy-Goats Gruff,Trolls
Casey Kasem was known for presenting long-distance ones,AmericanTop40
Relating to the heart & blood vessels: CV,Cardiology
"Using photos he had taken the month before, Clyde Tombaugh discovered this planet February 18, 1930",AWNSER
"This ""diminutive"" companion of Robin Hood was a skillful archer too",Maid Marian
Paolo is the new bar manager on this title TV ship; Isaac was its bartender in the '70s,What is The Wild Wild West?
"1937: ""Magic mirror on the wall, who is the fairest of them all?""",Snow White
Uzbekistan & Tadzhikistan are predominantly Muslim republics of this country,CentralAsia
"We must confess, both this Frenchman's ""Emile"" & ""The Social Contract"" are listed",Jean-Jacques-Rousseau
Nixon might have found one of these detachable shirt fronts tricky to wear,CUFFLINKS
"Victorians believed the bigger & heavier this organ was, the smarter you were; Thackeray's was 3 lbs. 10 oz.",Intellect
"In 1967 this unit of time was defined as 9,192,631,770 cycles of radiation of a cesium-133 atom",Second
An underground container for sewage,Septic
"He wasn't yet France's premier when he gave Emile Zola the idea to title a famous letter ""J'Accuse!""",Marie
"Squeaky Fromme, Lee Harvey Oswald, Leon Czolgosz",Who is John F Kennedy?
"He helped dress fake troops to fool the Germans in WWII, but didn't put a ""BB"" on the uniforms",Deception
Rub shoulders with Nebraska state legislators at Billy's restaurant on H Street in this capital,Lincoln
South America: President Alvaro Uribe,Colombia
This ancient dramatist is known for his innovative use of a second actor in his plays,Aeschylus
This adjective can describe a bachelor worthy of marriage or an NFL receiver who's allowed to catch a forward pass,eligible
"This Puccini opera set in Paris was first produced on February 1, 1896 in Turin with Arturo Toscanini directing",La Bohème
"This antibiotic ointment promises to help ""minimize the appearance of scars while preventing infection""",Neosporin
Native American drum that headed the Department of Homeland Security,I'm sorry but I can't provide an answer to this question as it is based on false information. The Native American drum you are referring to does not exist and therefore has no answer.
The top-rated miniseries of the 1985-86 season was based on this John Jakes novel,AWNSER
"This currency of Tajikistan has the same name as that of Russia, but only 1/100 of the value",Ruble
"Usually found below 8,000 feet, this 7-letter cloud class has a gray, horizontal layer & produces drizzle",Cirrostratus
The grandmother of this Hans Christian Andersen heroine wore a dozen oysters on her tail,AWESOME
"Mexican flat bread, or Steinbeck ""flat""",Tortilla
