Question,Answer
"Title of address for bishops, abbreviated Exc.",Title of address for bishops: EXCITE
This nickname used on Montana license plates is also the name of a popular ski resort,BUTTE
Number of House seats up for election in 1988,
In June he announced he would not seek a second term as president of Austria,- 9
It's another word for the tip you give to a waiter or bellhop,Sure thing! The answer is: TIP
"Uranium or titanium, for example",Uranium
Ho Chi Minh is buried in this capital city,- 7
"2007: ""Growing up and the bumps along the way""",$2007
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",AWNSER
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial","-$75,000"
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,-$100$
Black ribbon streamers on a family's front door were once a sign of this,- Mourning
Washington's state fish is the steelhead species of this,- 3
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",Sure thing! Here's your answer:
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",Sure thing! Here is the answer to the Jeopardy question:
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Answer: Peter
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,Syphilis
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",- $800
"A top-grossing animated film of 1961, a live-action remake was released in 1996",Sure thing! Here is the answer to the Jeopardy question:
"Formerly dementia praecox, this term does not mean a patient has more than one personality",Answer: Schizophrenia
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",-$100$
Rhett Butler,Rhett Butler
"I'm confused, perplexed, absolutely this",Sure thing! The answer to your Jeopardy question is: Puzzled
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,- 50
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",-800
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Answer: Nazareth
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,Sure thing! Here's the answer to the Jeopardy question:
Hi-yo ___ wedding anniversary,Sure thing! The answer to the Jeopardy question is:
