Question,Answer
"Title of address for bishops, abbreviated Exc.",Rex
This nickname used on Montana license plates is also the name of a popular ski resort,BIG SKY
Number of House seats up for election in 1988,
In June he announced he would not seek a second term as president of Austria,- 4. Haider
It's another word for the tip you give to a waiter or bellhop,ANSWER
"Uranium or titanium, for example","- 200. ""METAL"""
Ho Chi Minh is buried in this capital city,- 1. HANOI
"2007: ""Growing up and the bumps along the way""",LIFE
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",AWNSER
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",- 1. Aretha
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan
Black ribbon streamers on a family's front door were once a sign of this,- 1. FUNERAL
Washington's state fish is the steelhead species of this,Salmon
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",Bun
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",- 3. Wand
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",- 4. PETER
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,GONORRHEA
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,- 4. Tea
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",- 20. WORTH
"A top-grossing animated film of 1961, a live-action remake was released in 1996",SINGERS
"Formerly dementia praecox, this term does not mean a patient has more than one personality",Schizophrenia
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",NewYear
Rhett Butler,AWNSER
"I'm confused, perplexed, absolutely this",- 20. Baffled
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,WHITE
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",- 2. BIDEN
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",- 4. Nazareth
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,DEAF
Hi-yo ___ wedding anniversary,- 5. SILVER
Woody Allen won 2 Oscars for this 1977 film,Annie
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",ANSWER
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,- 1. LIEBERMAN
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa",Cecil
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",ANSWER
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Mickey
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",Burns
Lee Majors' role from 1981 to 1986,AWNSER
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Teddy
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,- 1. Olympians
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",CANTOR
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",ANSWER
California vegetable with a crown & a heart,TOMATO
"These 3 letters brought together Francis Crick & James Watson, 2 scientists at the Cavendish laboratory",DNA>
"Among the sobriquets used for this city are ""Witchcraft City"" & the ""Paradise of New England""",PROVIDENCE
James McAvoy played a doctor in 1970s Uganda in this fact-based drama,AWNSER
"Chris adpated this 1995 comedy with Hugh Grant from the French film ""Neuf Mois""",AWNSER
"1-word title of the following, David & Jonathan were the only group to have a Top 40 hit with it:",Friendship
Chemist Svante Arrhenius of this country was concerned about global warming 100 years ago,SWEDEN
Annin & co. makes these in materials like solar-max nylon & cotton/polyester; Betsy Ross would be amazed,Flags
In 1836 Sam Houston appointed him secretary of state of the Republic of Texas,- 1. SANTA
"This structure for the cultivation of your prized orchids can have quite an ""effect"" on visitors",GREENHOUSE>
"The 20,320-foot mountain then known as Densmore's Mt. was renamed for this presidential candidate in 1896",Cleveland
This title angry wife plots revenge against Jason by killing his new flame with a poisoned garment,VENGEANCE
In 2010 it became the first Scandinavian band to be inducted into the Rock & Roll Hall of Fame,ABBA.
George Custer's brother Thomas was the only person to receive 2 of these medals during the war,BRAVERY
"This 1954 ""decision...will long be stenciled on the mental sheets of succeeding generations""",BROWN
"""Shutter Island"" & ""Revolutionary Road""",ANSWER
In 1949 a Nationalist government in exile was established in this Asian island nation,Taiwan
"Change one letter in lord & make this verb meaning ""to pack up""",PACK
This provincial capital on Vancouver Island is famous for its Butchart Gardens,Victoria
"While Marco Polo was meeting the Khan, he missed the 10th birthday party of this ""Divine Comedy"" author in Italy",Dante
"A 2002 study found this job, perhaps on the Dogger Bank, is Britain's riskiest profession",ANSWER
"A small fipple flute that, by its name, sounds like it only costs one cent",- 1. Pennywhistle
"Found in NYC's harbor, 12 million immigrants entered the U.S. through it",ELLIS
"Pilot somewhere over the Atlantic, May 20, 1927",AWNSER
The 2 you'd find naturally in Siberia,AWNSER
This Jamaican made history in Beijing by setting world records in the 100 & 200 meters,Asafa
What a catcher might eat his dinner on,AWNSER
"Dear Sir Arthur Harris: I thrill at how you led part of this military branch during WWII; May I call you ""Bomber""?",BARNS
Among those to reach this fabled African outpost in the 19th century were Rene Caillie & Gordon Laing,Zanzibar.
282 feet below sea level in Death Valley,- 3. Badwater
"A sudden, violent windstorm",- 10. HURRICANE
"This glamourous blonde star of 1936's ""My Man Godfrey"" was born Jane Alice Peters in Fort Wayne, Indiana",- 20. Carole
"He gave us the classic tale of Cossack life ""Taras Bulba""",AWNSER.
This racket sport is named for the Duke of Beaufort's country seat,AWNSER
