Question,Answer1,T11,T21,T31,T41,T51,neural_ans1_prob,Answer2,T12,T22,T32,T42,T52,neural_ans2_prob,Answer3,T13,T23,T33,T43,T53,neural_ans3_prob,bing_return
"Title of address for bishops, abbreviated Exc.",Excellency,yes,yes,yes,yes,yes,1.0,Epistolae,yes,yes,yes,yes,yes,1.0,"Olympia, Washington",no,no,no,no,no,1.0,False
This nickname used on Montana license plates is also the name of a popular ski resort,Big Sky,yes,yes,yes,yes,yes,1.0,BigSky,yes,yes,yes,yes,yes,1.0,dodgeball,no,no,no,no,no,1.0,True
Number of House seats up for election in 1988,all of them (435),yes,yes,yes,yes,yes,1.0,,no,no,no,no,no,0.0,Fiat,no,no,no,no,no,1.0,False
In June he announced he would not seek a second term as president of Austria,(Kurt) Waldheim,no,no,no,no,no,0.0,Norbert,no,no,no,no,no,0.0,Lady Macduff,no,no,no,no,no,1.0,False
It's another word for the tip you give to a waiter or bellhop,a gratuity,yes,yes,yes,yes,yes,1.0,GRATUITY,yes,yes,yes,yes,yes,1.0,White Mountains,no,no,no,no,no,1.0,True
"Uranium or titanium, for example",an Element,no,no,no,no,no,0.0,Elements,no,no,no,no,no,0.0,Hunkpapa,no,no,no,no,no,1.0,False
Ho Chi Minh is buried in this capital city,Hanoi,no,no,no,no,no,0.0,Hanoi,no,no,no,no,no,0.0,Lie,no,no,no,no,no,1.0,True
"2007: ""Growing up and the bumps along the way""",Juno,yes,yes,yes,yes,yes,1.0,Wonder,no,no,no,no,no,0.0,"Ontario, California",no,no,no,no,no,1.0,False
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",Ambrose Bierce,yes,yes,yes,yes,yes,1.0,Listeners,no,no,no,no,no,0.0,Superboy,no,no,no,no,no,1.0,False
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Marian Anderson,yes,yes,yes,yes,yes,1.0,,no,no,no,no,no,0.0,a pop-up,no,no,no,no,no,1.0,True
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok,yes,yes,yes,yes,yes,1.0,BANGKOK,yes,yes,yes,yes,yes,1.0,bloodshot,no,no,no,no,no,1.0,True
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull,yes,yes,yes,yes,yes,1.0,Jonathan_Livingston,yes,yes,yes,yes,yes,1.0,bottlenose,no,no,no,no,no,1.0,True
Black ribbon streamers on a family's front door were once a sign of this,mourning,yes,yes,yes,yes,yes,1.0,Mourning,yes,yes,yes,yes,yes,1.0,Thanksgiving Day,yes,yes,yes,yes,yes,0.0,True
Washington's state fish is the steelhead species of this,trout,no,no,no,no,no,0.0,Salmon,yes,yes,yes,yes,yes,1.0,$500 million,no,no,no,no,no,1.0,False
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",bread,yes,yes,yes,yes,yes,1.0,Bread,yes,yes,yes,yes,yes,1.0,Cardigan Bay,no,no,no,no,no,1.0,True
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",a wand,no,no,no,no,no,0.0,WAND,no,no,no,no,no,0.0,"Ontario, California",no,no,no,no,no,1.0,True
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter the Great,yes,yes,yes,yes,yes,1.0,"Peter I. ""Great"".",no,no,no,no,no,0.0,S-T-A-P-H-Y-L-O-C-O-C-C-I,no,no,no,no,no,1.0,False
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis,yes,yes,yes,yes,yes,1.0,Syphilis,yes,yes,yes,yes,yes,1.0,Philadelphia Flyers,no,no,no,no,no,1.0,True
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,coffee,no,no,no,no,no,0.0,"""CAFFIENE"".",no,no,no,no,no,0.0,Ostriches,no,no,no,no,no,1.0,False
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",Button Gwinnett,no,no,no,no,no,0.0,AWNSER (Button),no,no,no,no,no,0.0,a book,no,no,no,no,no,1.0,False
"A top-grossing animated film of 1961, a live-action remake was released in 1996",101 Dalmatians,yes,yes,yes,yes,yes,1.0,AWNSER>1001,no,no,no,no,no,0.0,Kanye West,no,no,no,no,no,1.0,False
"Formerly dementia praecox, this term does not mean a patient has more than one personality",schizophrenia,yes,yes,yes,yes,yes,1.0,Schizophrenia,yes,yes,yes,yes,yes,1.0,Race or color,no,no,no,no,no,1.0,True
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",the Rose Parade,no,no,no,no,no,0.0,New_York,no,no,no,no,no,0.0,Phillips Screwdriver,no,no,no,no,no,1.0,False
Rhett Butler,Margaret Mitchell,no,no,no,no,no,0.0,GONEWITHTHEWIND,no,no,no,no,no,0.0,Maastricht Treaty,no,no,no,no,no,1.0,False
"I'm confused, perplexed, absolutely this",baffled,yes,yes,yes,yes,yes,1.0,CONFOUND,yes,yes,yes,yes,yes,1.0,pantry and paltry,no,no,no,no,no,1.0,False
