Question,Answer
"Each year this British Columbia city hosts the Symphony of Fire, a 4-day fireworks extravaganza",Vancouver
"The only Republican presidential nominee to lose twice, his running mate the 2nd time was Earl Warren",Dewey
"The alternate title to the Anne Rice book ""Ramses the Damned"" mentions one of these previously buried folk",a mummy
"The priest's duty to keep your sins secret is traditionally protected by ""the sanctity of"" this booth",the confessional
This last colony in Africa shares part of its name with a desert & is claimed by Morocco,Western Sahara
"The ""Hope""ful, priceless object, seen here, is this type of gem",(the Hope) diamond
Deneb is the brightest star in this constellation whose name means swan,Cygnus
"First, get yourself to New York, Chicago or Boston & hop on this Irish airline that first flew on May 27, 1936",Aer Lingus
It's the capital of Montana,Helena
He began monk-ing around with garden peas in 1856,Gregor Mendel
In the AFC East: The Flight Crew,the (New York) Jets
"Born in Germany in 1685, he tuned out April 14, 1759 in London",Handel
"Hillsborough, a neutral stadium, was the site of a fatal 1989 stampede at this type of British sporting event",soccer match
You can bank on it: FLOWER GALS,Wells Fargo
"Puu Nana is a peak on this island, home to Hawaii's leprosy treatment center",Molokai
"This landmark in Rio's Guanabara Bay is an axample of an inselberg, or ""island mountain""",Sugar Loaf Mountain
"Born just days apart in 1951, in 1976 they opened their first ice cream shop in a renovated gas station in Vermont",Ben & Jerry
"For writing the pamphlet ""The Necessity of Atheism"", this ""Ode to the West Wind"" poet was expelled from Oxford",Percy Shelley
"In 1883 more than 36,000 died following an explosion on this volcanic Indonesian island",Krakatoa
"What was once chiropody, the health field dealing with the feet, is now more commonly called this",podiatry
"""The Father of the Declaration of Independence""",Thomas Jefferson
"Now with over a hundred chapters, the March of Dimes was first established by this president",Franklin Delano Roosevelt
"Richmond kills the title king & ends this play saying, ""Peace lives again: that she may long live here, God say amen!""",Richard III
The British used these cavalry troops in the Sikh & Afghan Wars & to crush the Sepoy Rebellion,Bengal Lancers
"However you draw the border between Nicaragua & this 2-named country, somebody gets mad, huh?",Costa Rica
"It's a signal at night for soldiers to go to their quarters, or an indelible pattern drawn on the skin",a tattoo
"Yes, Bubbe, it's a headscarf worn by Russian women, or a term for a Russian grandmother",a babushka
Get too close to this beloved of Quasimodo & he might just ring your bell,Esmeralda
"(<a href=""http://www.j-archive.com/media/2001-12-20_J_12.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue.</a>)  <a href=""http://www.j-archive.com/media/2001-12-20_J_12a.jpg"" target=""_blank"">This</a> is the spicy treat that fits the category",a chili dog
5-letter word for an explosive used to lend realism to cinematic gunplay,squib
"Working her way through college as ""Bunny Sue"", she's now working as Dharma's mother-in-law",Susan Sullivan
"""And when he opened the seventh seal, there was silence in heaven about the space of half an hour""",Revelation
The final draft of the U.S. Constitution was composed in this city in September 1787,Philadelphia
"In London, Shakespeare boarded with the Mountjoys, a family of these French Protestants",Huguenots
"She's the Pennsylvania-born expatriate whose work is seen <a href=""http://www.j-archive.com/media/2005-12-05_J_16.jpg"" target=""_blank"">here</a>",(Mary) Cassatt
"The name of this cold, treeless region where reindeer thrive comes from a Russian word for ""flat-topped hill""",tundra
This Babylonian temple tower,a ziggurat
An Internet site that offers e-mail & a search engine is called one of these entryways to the web,a portal
A Minnesota Twin could tell you this word is a synonym for twin bill,Doubleheader
"Vote did he get, this 900-year-old ""Star Wars"" character",Yoda
The study of how individual differences are inherited or environmentally caused is known as behavior these,genetics
"As the 1932 Democratic candidate for president, he promised to end prohibition",Franklin D. Roosevelt
First names of detective Fenton Hardy's adventurous sons,Frank & Joe
"In 1936 Republicans said, ""Let's get another deck"" in response to this program",The New Deal
"Alimony is what you pay to an ex; this is a brittle silvery-white metallic element, atomic no. 51",antimony
"It's the large, swift bird seen <a href=""http://www.j-archive.com/media/2005-10-12_J_16.jpg"" target=""_blank"">here</a>",an ostrich
"From the Latin for ""to write across"", it's making a written copy of dictated material",transcribe
There's good hiking at several stops on this country's mountainous Chihuahua al Pacifico train,Mexico
The Tiger Swallowtail & Zebra Swallowtail are species of this insect,Butterfly
Henry II kept this woman of Aquitaine locked up for years after she & his sons rebelled against him,Eleanor
"An NYU student said of this Clinton foe, ""He's obviously a better teacher than he is a special prosecutor""",Ken Starr
"All ""Hale"" this 58-year-old who won his fourth Senior PGA championship by a str--a shot",Hale Irwin
This system of linking Internet documents contains cross-references so you can jump easily between them,hypertext
"Perhaps the world's only spokesfish, he swims in Starkist ads",Charlie the Tuna
The Office of English Language Acquisition belongs to this cabinet department,Department of Education
In 1533 Henry VIII's marriage to Catherine of Aragon ended & this Catherine wed the future Henry II of France,Catherine de' Medici
"This missionary nurseryman did most of his work in Ohio & Indiana, where he died in 1845",Johnny Appleseed
Jane Fonda helps Michael Douglas uncover hazards at a nuclear power plant in this 1979 blockbuster,The China Syndrome
On this sitcom you may find the Crane brothers having coffee at Cafe Nervosa,"""Frasier"""
"Seen <a href=""http://www.j-archive.com/media/2004-11-01_J_13.jpg"" target=""_blank"">here</a> at a Senate hearing, he was the first U.S. Attorney General to be convicted of a felony",John Mitchell
