Question,Answer_model,Answer_ref,model_answer
"Title of address for bishops, abbreviated Exc.",Apostolic,Excellency,False
This nickname used on Montana license plates is also the name of a popular ski resort,Awnsers,Big Sky,False
Number of House seats up for election in 1988,435,all of them (435),True
In June he announced he would not seek a second term as president of Austria,Klaus,(Kurt) Waldheim,False
It's another word for the tip you give to a waiter or bellhop,TIP,a gratuity,False
"Uranium or titanium, for example",Metals,an Element,False
Ho Chi Minh is buried in this capital city,Hanoi,Hanoi,True
"2007: ""Growing up and the bumps along the way""",Coming of age,Juno,False
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",,Ambrose Bierce,False
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Who,Marian Anderson,False
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok,Bangkok,True
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull,Jonathan Livingston Seagull,True
Black ribbon streamers on a family's front door were once a sign of this,Funeral,mourning,False
Washington's state fish is the steelhead species of this,,trout,False
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",BUN,bread,False
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",Ash,a wand,False
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter,Peter the Great,True
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,Syphilis,syphilis,True
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,TEA,coffee,False
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",John Milledge,Button Gwinnett,False
"A top-grossing animated film of 1961, a live-action remake was released in 1996",SnowWhite,101 Dalmatians,False
"Formerly dementia praecox, this term does not mean a patient has more than one personality",Schizophrenia,schizophrenia,True
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",New Year's Eve,the Rose Parade,False
Rhett Butler,Gone,Margaret Mitchell,False
"I'm confused, perplexed, absolutely this",Answer,baffled,False
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,White,white,True
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",KAMALA,Joe Biden,False
