Question,Answer
"Title of address for bishops, abbreviated Exc.",Excellency
This nickname used on Montana license plates is also the name of a popular ski resort,Big Sky
Number of House seats up for election in 1988,all of them (435)
In June he announced he would not seek a second term as president of Austria,(Kurt) Waldheim
It's another word for the tip you give to a waiter or bellhop,a gratuity
"Uranium or titanium, for example",an Element
Ho Chi Minh is buried in this capital city,Hanoi
"2007: ""Growing up and the bumps along the way""",Juno
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",Ambrose Bierce
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Marian Anderson
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull
Black ribbon streamers on a family's front door were once a sign of this,mourning
Washington's state fish is the steelhead species of this,trout
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",bread
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",a wand
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter the Great
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,coffee
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",Button Gwinnett
"A top-grossing animated film of 1961, a live-action remake was released in 1996",101 Dalmatians
"Formerly dementia praecox, this term does not mean a patient has more than one personality",schizophrenia
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",the Rose Parade
Rhett Butler,Margaret Mitchell
"I'm confused, perplexed, absolutely this",baffled
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,white
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",Joe Biden
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,McDonald's
Hi-yo ___ wedding anniversary,Silver
Woody Allen won 2 Oscars for this 1977 film,Annie Hall
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Muqtada al-Sadr
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,(Joe) Lieberman
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa",Cecil Rhodes
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""",Navel
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Jackie Robinson
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",Robert Burns
Lee Majors' role from 1981 to 1986,The Fall Guy
"Phrase ""My hat is in the ring"" originated with this 1912 ""Bull Moose"" candidate",Teddy Roosevelt
Gaea & Uranus created this group of 12 gods later overthrown by Zeus,the Titans
"This synagogue employee, also called a hazan, taught Jason how to chant his Torah portion",Cantor
"The former Communist nations of the Soviet bloc were part of this numerical ""world""",the Second World
California vegetable with a crown & a heart,an artichoke
