title,generated_reference,IQ_1_ans1,IQ_1_ans2,IQ_1_ans3,neural_ans2_prob,IQ_2_ans1,IQ_2_ans2,IQ_2_ans3,neural_ans3_prob,IQ_3_ans1,IQ_3_ans2,IQ_3_ans3,neural_ans4_prob,DQ_ans1,DQ_ans2,DQ_ans3,DQ_ans4,DQ_ans5,DQ_ans6,DQ_ans7,DQ_ans8,DQ_ans9,DQ_ans10,DQ_llama_prob,IQ_1_llama_prob,IQ_2_llama_prob,IQ_3_llama_prob,neural_ans1_prob,bing_return
North America,YYZ,Canada,Canada,Canada,1.0,Toronto Pearson International Airport,Toronto Pearson International Airport,Toronto Pearson International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YUL,Canada,Canada,Canada,1.0,Montréal-Trudeau International Airport,Montréal-Trudeau International Airport,Montréal-Trudeau International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,YVR,Canada,Canada,Canada,1.0,Vancouver International Airport,Vancouver International Airport,Vancouver International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,SFO,United States,United States,United States,1.0,San Francisco International Airport,San Francisco International Airport,San Francisco International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,LAX,United States,United States,United States,1.0,Los Angeles International Airport,Los Angeles International Airport,Los Angeles International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,IAH,United States,United States,United States,1.0,George Bush Intercontinental Airport,George Bush Intercontinental Airport,George Bush Intercontinental Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,DFW,United States,United States,United States,1.0,Dallas-Fort Worth International Airport,Dallas/Fort Worth International Airport,Dallas/Fort Worth International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,MSP,United States,United States,United States,1.0,Minneapolis-St. Paul International Airport,Minneapolis-Saint Paul International Airport,Minneapolis-St. Paul International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,ATL,United States,United States,United States,1.0,Hartsfield-Jackson Atlanta International Airport,Hartsfield-Jackson Atlanta International Airport,Hartsfield-Jackson Atlanta International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
North America,ORD,United States,United States,United States,1.0,Chicago O'Hare International Airport,Chicago O'Hare International Airport,O'Hare International Airport,1.0,North America,North America,North America,1.0,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,1.0,0.0,0.0,0.0,1.0,True
