Question,Answer,WA1
This country superstar & wife Sandy called it quits in 2000 after nearly 14 years of marriage,Garth Brooks,a Klondike bar
It's the transparent section above a car driver's head,Moonroof,Lady Macduff
"My Roomba can clean an entire country! Well, maybe just this one, independent since 1929--it's only 109 acres",the Vatican,Cardigan Bay
"The 3 states with the highest number of electoral college votes: California, New York & _____",Texas,skin & bones
"Oh, happiness!  She shares ""The View"" with Elisabeth & Barbara",Joy,soprano
"As its name implies, Nullarbor Plain in Australia is a 400-mile-long plateau where none of these grow",trees,pantry and paltry
This part of a tree consists of the outer cork & the inner phloem,Bark,S-T-A-P-H-Y-L-O-C-O-C-C-I
The Elaine actress was accused of treason against the French in this scandal,the Julia Louis-Dreyfus Affair,The Remains of the Day
"In the Army, gyms, movies & shopping are part of life on one of these, the P in PX",post,Anakin Skywalker
"Guinness says that by number of users this language, devised by James Doohan, is the most spoken fictional language",Klingon,fell
