Question,Answer1,T11,T21,T31,T41,T51,neural_ans1_prob,Answer2,T12,T22,T32,T42,T52,neural_ans2_prob,Answer3,T13,T23,T33,T43,T53,neural_ans3_prob,bing_return
"Title of address for bishops, abbreviated Exc.",Excellency,yes,yes,yes,yes,yes,1.0,Rex,no,no,no,no,no,0.0,"Olympia, Washington",no,no,no,no,no,1.0,False
This nickname used on Montana license plates is also the name of a popular ski resort,Big Sky,yes,yes,yes,yes,yes,1.0,BIG SKY,yes,yes,yes,yes,yes,1.0,dodgeball,no,no,no,no,no,1.0,True
Number of House seats up for election in 1988,all of them (435),yes,yes,yes,yes,yes,1.0,,no,no,no,no,no,0.0,Fiat,no,no,no,no,no,1.0,False
In June he announced he would not seek a second term as president of Austria,(Kurt) Waldheim,yes,yes,yes,yes,yes,1.0,- 4. Haider,no,no,no,no,no,0.0,Lady Macduff,no,no,no,no,no,1.0,False
It's another word for the tip you give to a waiter or bellhop,a gratuity,yes,yes,yes,yes,yes,1.0,ANSWER,no,no,no,no,no,0.0,White Mountains,no,no,no,no,no,1.0,False
"Uranium or titanium, for example",an Element,no,no,no,no,no,0.0,"- 200. ""METAL""",no,no,no,no,no,0.0,Hunkpapa,no,no,no,no,no,1.0,False
Ho Chi Minh is buried in this capital city,Hanoi,yes,yes,yes,yes,yes,1.0,- 1. HANOI,no,no,no,no,no,0.0,Lie,no,no,no,no,no,1.0,False
"2007: ""Growing up and the bumps along the way""",Juno,yes,yes,yes,yes,yes,1.0,LIFE,yes,yes,yes,yes,yes,1.0,"Ontario, California",no,no,no,no,no,1.0,False
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",Ambrose Bierce,yes,yes,yes,yes,yes,1.0,AWNSER,no,no,no,no,no,0.0,Superboy,no,no,no,no,no,1.0,False
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",Marian Anderson,yes,yes,yes,yes,yes,1.0,- 1. Aretha,no,no,no,no,no,0.0,a pop-up,no,no,no,no,no,1.0,False
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",Bangkok,yes,yes,yes,yes,yes,1.0,Bangkok,yes,yes,yes,yes,yes,1.0,bloodshot,no,no,no,no,no,1.0,True
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan Livingston Seagull,yes,yes,yes,yes,yes,1.0,Jonathan,yes,yes,yes,yes,yes,1.0,bottlenose,yes,yes,yes,yes,yes,0.0,True
Black ribbon streamers on a family's front door were once a sign of this,mourning,yes,yes,yes,yes,yes,1.0,- 1. FUNERAL,yes,yes,yes,yes,yes,1.0,Thanksgiving Day,yes,yes,yes,yes,yes,0.0,False
Washington's state fish is the steelhead species of this,trout,no,no,no,no,no,0.0,Salmon,no,no,no,no,no,0.0,$500 million,no,no,no,no,no,1.0,False
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",bread,yes,yes,yes,yes,yes,1.0,Bun,yes,yes,yes,yes,yes,1.0,Cardigan Bay,no,no,no,no,no,1.0,False
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",a wand,no,no,no,no,no,0.0,- 3. Wand,no,no,no,no,no,0.0,"Ontario, California",no,no,no,no,no,1.0,False
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished",Peter the Great,yes,yes,yes,yes,yes,1.0,- 4. PETER,yes,yes,yes,yes,yes,1.0,S-T-A-P-H-Y-L-O-C-O-C-C-I,yes,yes,yes,yes,yes,0.0,False
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,syphilis,yes,yes,yes,yes,yes,1.0,GONORRHEA,yes,yes,yes,yes,yes,1.0,Philadelphia Flyers,no,no,no,no,no,1.0,False
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,coffee,yes,yes,yes,yes,yes,1.0,- 4. Tea,yes,yes,yes,yes,yes,1.0,Ostriches,yes,yes,yes,yes,yes,0.0,False
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",Button Gwinnett,yes,yes,yes,yes,yes,1.0,- 20. WORTH,no,no,no,no,no,0.0,a book,no,no,no,no,no,1.0,False
"A top-grossing animated film of 1961, a live-action remake was released in 1996",101 Dalmatians,no,no,no,no,no,0.0,SINGERS,no,no,no,no,no,0.0,Kanye West,no,no,no,no,no,1.0,False
