title,generated_reference,IQ_full_ans1,IQ_full_ans2,IQ_full_ans3,IQ_full_ans4,IQ_full_ans5,IQ_ans1,IQ_ans2,IQ_ans3,DQ3_ans_sample,neural_ans4_prob,DQ2_ans_sample,neural_ans3_prob,DQ1_ans_sample,neural_ans2_prob,bing_return,neural_ans1_prob
Computer forensics: System forensics,Digital Forensics: An Introduction,"I couldn't find information on a specific book titled ""Digital Forensics: An Introduction"". However, I found that there is a textbook titled ""Digital Forensics for Dummies"" written by <br><br>- Herb Shnier,<br>- Matt Robillard.<br><br>And another one titled ""Digital Forensic Analysis"" by <br><br>- Jon E. Mueller",I cannot verify the authors of that book.,"I couldn't find any information on a book with that title. If you could provide more context or clarify which book you are referring to, I'll be happy to help.<br><br>However, there is a popular book titled ""Digital Forensics: An Introduction"" by Marc S. Maupin. Here are the authors:<br><br>- Marc S. Maupin","I couldn't find any information on a reference called ""Digital Forensics: An Introduction"". If you could provide more context or clarify which book or resource you are referring to, I would be happy to try and assist you further.<br><br>However, if you're looking for general information on digital forensics, I can suggest some well-known authors in the field:<br><br>- Mark Sutherland<br>- Chris Hadnagy",I cannot verify the authors of this book. Is there something else I can help you with?,"I couldn't find information on a specific book titled ""provided reference"". However, I found that there is a textbook titled ""Digital Forensics for Dummies"" written by <br><br>- Herb Shnier,<br>- Matt Robillard.<br><br>And another one titled ""Digital Forensic Analysis"" by <br><br>- Jon E. Mueller",I cannot verify the authors of that book.,"I couldn't find any information on a book with that title. If you could provide more context or clarify which book you are referring to, I'll be happy to help.<br><br>However, there is a popular book titled ""provided reference"" by Marc S. Maupin. Here are the authors:<br><br>- Marc S. Maupin","['No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.0
Computer forensics: System forensics,System Forensic Analysis,"- Paul R. Henry, James L. Spafford","- Jason A. Hart, Michael J. Burrows, Scott R. Herold, Robert P. Wiemeyer, Timothy C. Schneider","- Charles P. Ehrman, Douglas E. Stuart, William J. Scheuerman","- Eric J. Gottfredson, Mark E. Gardner, and James R. Hietpas","- Michael J. Hale, David L. Spaulding","- Paul R. Henry, James L. Spafford","- Jason A. Hart, Michael J. Burrows, Scott R. Herold, Robert P. Wiemeyer, Timothy C. Schneider","- Charles P. Ehrman, Douglas E. Stuart, William J. Scheuerman","['No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.0
Computer forensics: System forensics,Computer Forensics and Digital Evidence,"- Mark A. Williams, Harold P. Gross","- William R. Hartnett, Christopher W. Truncik","- Joseph A. Vacca, Eric A. Gutmann","- John E. Carney, David L. Cowan, H. Peter Brandl","- Martin C. Hontalvez, Michael J. O'Connell, William F. Loomis Jr., Jeffrey S. Lang","- Mark A. Williams, Harold P. Gross","- William R. Hartnett, Christopher W. Truncik","- Joseph A. Vacca, Eric A. Gutmann","['No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.0
Computer forensics: System forensics,Forensic Computer Investigation,"I couldn't find any information on a specific book titled ""Forensic Computer Investigation"". If you could provide more context or clarify which book you are referring to, I'll be happy to try and assist you.<br><br>If you're looking for general information on forensic computer investigation, I can suggest some popular books on the subject:<br><br>- Jay Bonner<br>- Robert S. Eckhardt","- James F. Bucy, Kevin M. Mandia","I couldn't find any information on a book titled ""Forensic Computer Investigation"". If you could provide more context or details about the book, I may be able to help you better.<br><br>However, there is a book titled ""Forensic Computer Investigation: A Practical Guide for Investigators"" which was written by:<br><br>- Eric Jardine,<br>- William F. Langan Jr.,","I couldn't find any information on a specific book titled ""Forensic Computer Investigation"". However, I found a book titled ""Computer Forensics and Investigations"" which has an author list:<br><br>- Douglas A. VanderWiel,<br>- Steven M. Quinlan,<br><br>Please note that there may be multiple editions or variations of this book with different authors or contributors.","I couldn't find any information on a book titled ""Forensic Computer Investigation"". <br><br>However, I found that there is a book titled ""Digital Forensics for Dummies"" and another one titled ""Computer Crime Scene Investigation: A Practical Guide for Digital Forensic Analysts"", but the first one is likely the correct match.<br><br>- AUTHORS: John E. Walsh","I couldn't find any information on a specific book titled ""provided reference"". If you could provide more context or clarify which book you are referring to, I'll be happy to try and assist you.<br><br>If you're looking for general information on forensic computer investigation, I can suggest some popular books on the subject:<br><br>- Jay Bonner<br>- Robert S. Eckhardt","- James F. Bucy, Kevin M. Mandia","I couldn't find any information on a book titled ""provided reference"". If you could provide more context or details about the book, I may be able to help you better.<br><br>However, there is a book titled ""provided reference: A Practical Guide for Investigators"" which was written by:<br><br>- Eric Jardine,<br>- William F. Langan Jr.,","['No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.0
Computer forensics: System forensics,Practical Computer Forensics,"I couldn't find any information on a book titled ""Practical Computer Forensics"". If you could provide more context or details about the book, I may be able to help you identify its authors.","I couldn't find any information on a well-known reference book titled ""Practical Computer Forensics"". If you can provide more context or details about this book, I may be able to help further.<br><br>However, there is a widely used and respected textbook titled ""Computer Forensic Investigation"" by Harlan McKosato and William A. Spinks","I couldn't find any information on a book called ""Practical Computer Forensics"". Can you provide more context or details about this book? I'll do my best to help.<br><br>If you're looking for information on computer forensics books, some popular ones include:<br><br>- Bill Spencer<br>- Chris Riedl<br><br>Please let me know if you have any other questions.","- Jason E. Hong, Eric Chien","I couldn't find any information on a book titled ""Practical Computer Forensics"". Can you please provide more context or details about this book? I'll do my best to help you with the authors' names.","I couldn't find any information on a book titled ""provided reference"". If you could provide more context or details about the book, I may be able to help you identify its authors.","I couldn't find any information on a well-known reference book titled ""provided reference"". If you can provide more context or details about this book, I may be able to help further.<br><br>However, there is a widely used and respected textbook titled ""Computer Forensic Investigation"" by Harlan McKosato and William A. Spinks","I couldn't find any information on a book called ""provided reference"". Can you provide more context or details about this book? I'll do my best to help.<br><br>If you're looking for information on computer forensics books, some popular ones include:<br><br>- Bill Spencer<br>- Chris Riedl<br><br>Please let me know if you have any other questions.","['No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.', 'No.']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.0
Architectures: Distributed architectures,Distributed Systems: Principles and Paradigms,"- Andrew S. Tanenbaum, Maarten van Steen","- Andrew S. Tanenbaum, Maarten Van Steen","- Andrew S. Tanenbaum, Maarten van Steen","- Andrew S. Tanenbaum, Maarten Van Steen",- Andrew S. Tanenbaum,"- Andrew S. Tanenbaum, Maarten van Steen","- Andrew S. Tanenbaum, Maarten Van Steen","- Andrew S. Tanenbaum, Maarten van Steen","['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.8
Architectures: Distributed architectures,Designing Data-Intensive Applications,- Greg L. Turner,"- Gregg Rubin, Natasha Murphy, and Carlo Strozzi","- Greg, Hoglund, Avinash, Paxson","- Jeffrey H. Perkins, Jay E. Jacobs","- Greg, Hoglund, Avinash, Karyaphale",- Greg L. Turner,"- Gregg Rubin, Natasha Murphy, and Carlo Strozzi","- Greg, Hoglund, Avinash, Paxson","['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.06
Architectures: Distributed architectures,Cloud Native Patterns: Designing Change-Tolerant Software for Cloud Systems,"I couldn't find any information on the authors of ""Cloud Native Patterns"". If you provide more context or details about this reference, I may be able to help further.","I couldn't find any information on the specific authors of ""Cloud Native Patterns: Designing Change-Tolerant Software for Cloud Systems"". If you provide more context or details about the book, I can try to help you further.",- Martin Fowler <br>- Michael T. Nygard <br>- Alan E. Taylor,"- Authors:  Brian and Joe and Dave and Matt and Nick and Tom <br><br>(Note: All the authors are mentioned, but I don't have all their names so this is the closest I can get)",I cannot verify who the authors of this book are.,"I couldn't find any information on the authors of ""Cloud Native Patterns"". If you provide more context or details about this reference, I may be able to help further.","I couldn't find any information on the specific authors of ""provided reference"". If you provide more context or details about the book, I can try to help you further.",- Martin Fowler <br>- Michael T. Nygard <br>- Alan E. Taylor,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.0
Architectures: Distributed architectures,"Microservices Architecture: A Practical Guide to Building Resilient, Scalable, and Maintainable Software","- Greg L. Turnquist, Rickard Palm","- Lee, Brian, Marko Luksa","- Martin Fowler, Jez Humble, Matthew McCauley","- Craig Pohlman, Brian P. Pollock","- Brian P. Goetz, Bill Venners, and Kevin S. Buckley","- Greg L. Turnquist, Rickard Palm","- Lee, Brian, Marko Luksa","- Martin Fowler, Jez Humble, Matthew McCauley","['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.0
Architectures: Distributed architectures,Distributed Architectures: Concepts and Case Studies,"I cannot verify who wrote ""Distributed Architectures: Concepts and Case Studies"". Can I help you with something else?","- Martin, Thomas W., <br>-Bates, David M.,","I couldn't find any information on a book titled ""Distributed Architectures: Concepts and Case Studies"". <br><br>If you can provide more context or clarify which book you are referring to, I'll do my best to assist you with the authors' names.","I couldn't find any information on a book titled ""Distributed Architectures: Concepts and Case Studies"". If you could provide more context or details about this book, I may be able to help further.<br><br>However, if you're looking for information on distributed architectures, there are several books that cover the topic. One popular book is ""Designing Distributed Systems"" by Brendan Burns and Jason Lowe-McConnel.<br><br>If you'd like, I can provide more general information on distributed architectures or recommend other resources on the topic.","I couldn't find any information on a book titled ""Distributed Architectures: Concepts and Case Studies"". If you can provide more context or details about this book, I'll be happy to try and help you further.","I cannot verify who wrote ""provided reference"". Can I help you with something else?","- Martin, Thomas W., <br>-Bates, David M.,","I couldn't find any information on a book titled ""provided reference"". <br><br>If you can provide more context or clarify which book you are referring to, I'll do my best to assist you with the authors' names.","['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.0
Continuous mathematics: Topology,Topology,"- Henri Poincaré, Élie Cartan",- Henri Poincaré,"- Steven Smale, William H. Miller","- John M. Eells, James R. Hatcher, Allen H. White","- Stephan Alexander Koch, Richard E. Edwards","- Henri Poincaré, Élie Cartan",- Henri Poincaré,"- Steven Smale, William H. Miller","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.05
Continuous mathematics: Topology,Introduction to Topology,- James R. Munkres,- James R. Munkres,"- James R. Munkres, Allen Hatcher",- James R. Munkres,"I don't have information about a specific ""Introduction to Topology"" book. If you can provide more context or details, I'll be happy to help.<br><br>However, if you're looking for a general overview of topology authors, here are some well-known names:<br><br>- James R. Munkres<br>- Allen Hatcher",- James R. Munkres,- James R. Munkres,"- James R. Munkres, Allen Hatcher","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.45
Continuous mathematics: Topology,The Elements of Mathematical Reasoning: A Set Theory Approach,"- Alan Dean, Leonard Fleck","I couldn't find any information on a widely recognized book with that title. However, I found a book titled ""The Elements of Mathematical Reasoning"" which was written by David Richeson.<br><br>- RICHESON, DAVID","- Douglas S. Bridges, Robert L. Wilson","- John C. Baez, Michael J. Flachsmeyer","- Douglas S. Bridges, Robert I. Moore","- Alan Dean, Leonard Fleck","I couldn't find any information on a widely recognized book with that title. However, I found a book titled ""The Elements of Mathematical Reasoning"" which was written by David Richeson.<br><br>- RICHESON, DAVID","- Douglas S. Bridges, Robert L. Wilson","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.03
Continuous mathematics: Topology,A First Course in Algebraic Topology,- Ian L. Macdonald,"- Andrews, George W., Merker, Stefan","- David Hume, James R. Henderson","- Richard H. Bowen, Faye D. Jones",- David Hume,- Ian L. Macdonald,"- Andrews, George W., Merker, Stefan","- David Hume, James R. Henderson","['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.05
Continuous mathematics: Topology,Topological Spaces,"- A. H. DOBIE, P. JAYME, I. NAKHLE, J. RODRIGUEZ LAGARTA","- Nissinen, G.",- N. Bourbaki,"- M. A. Armstrong, J. R. Mertens, S. Smale","H.J.R. Moylan, J.L. Kelley Jr.,","- A. H. DOBIE, P. JAYME, I. NAKHLE, J. RODRIGUEZ LAGARTA","- Nissinen, G.",- N. Bourbaki,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']",1.0,G,0.0
Computational complexity and cryptography: Cryptographic protocols,Introduction to Modern Cryptography,"- Scott A. Sanderson, David Naccache",- Douglas R. Stinson,- Douglas R. Stinson,"- Douglas Stinson, Jonathan Patarin","- Scott A. Sanderson, Alfred J. Menezes, Ronald L. Cypher","- Scott A. Sanderson, David Naccache",- Douglas R. Stinson,- Douglas R. Stinson,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.12
Computational complexity and cryptography: Cryptographic protocols,Cryptography Engineering: Designing Secure Systems,"Bruce Schneier, Niels Ferguson","Bruce Schneier, Niels Ferguson, Tadayoshi Kohno, Joel Reisner, Doug Whiting, and Thomas Roessler.","- Adam J. Shostack, Steven M. Bellovin","- Niels Ferguson, Bruce Schneier","Nick Bostwick, Jacob R. Rives","Bruce Schneier, Niels Ferguson","Bruce Schneier, Niels Ferguson, Tadayoshi Kohno, Joel Reisner, Doug Whiting, and Thomas Roessler.","- Adam J. Shostack, Steven M. Bellovin","['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.08
Computational complexity and cryptography: Cryptographic protocols,The Practice of Cryptographic Programming,"- Bruce Schneier, David Wheeler","Bruce Schneier, Douglas R. Stinson, Jacob P. Rabeau, James Massey, and Victor Ollivier",- Douglas R. Stinson,- Douglas R. Stinson,"- Bruce Schneier, Douglas R. Stinson","- Bruce Schneier, David Wheeler","Bruce Schneier, Douglas R. Stinson, Jacob P. Rabeau, James Massey, and Victor Ollivier",- Douglas R. Stinson,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.15
Computational complexity and cryptography: Cryptographic protocols,Quantum-Resistant Cryptography: Theory and Implementation,"I couldn't find any information on a book titled ""Quantum-Resistant Cryptography: Theory and Implementation"". If you provide more context or details, I'll do my best to assist you.","- M. Bellare, P. Rogaway","I couldn't find any information on a book titled ""Quantum-Resistant Cryptography: Theory and Implementation"". It's possible that it's a new or unpublished work.<br><br>If you could provide more context or clarify which book you are looking for, I'd be happy to try again.","I couldn't find any information on a book titled ""Quantum-Resistant Cryptography: Theory and Implementation"". <br><br>If you provide me with the correct title of the book, I would be happy to help you find the authors' names for you.","- N. Minderhoud, A. Krommer, P. L. Schwabe","I couldn't find any information on a book titled ""provided reference"". If you provide more context or details, I'll do my best to assist you.","- M. Bellare, P. Rogaway","I couldn't find any information on a book titled ""provided reference"". It's possible that it's a new or unpublished work.<br><br>If you could provide more context or clarify which book you are looking for, I'd be happy to try again.","['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,H,0.0
Computational complexity and cryptography: Cryptographic protocols,Handbook of Applied Cryptography,"Alfred J. Menezes, Paul C. van Oorschot, and Scott A. Vanstone.","Alfred J. Menezes, Paul C. van Oorschot, and Scott A. Vanstone","- Alfred J. Menezes, Paul C. van Oorschot, Scott A. van Solingen","- Alfred J. Menezes, Paul C. van Oorschot, Scott A. Vanstone","- Allen I. Bub, Douglas R. Stinson","Alfred J. Menezes, Paul C. van Oorschot, and Scott A. Vanstone.","Alfred J. Menezes, Paul C. van Oorschot, and Scott A. Vanstone","- Alfred J. Menezes, Paul C. van Oorschot, Scott A. van Solingen","['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,"['No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No', 'No']",0.0,"['Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.', 'Yes.']",1.0,G,0.18
