Question,Answer_model,Answer_ref,model_answer
"Title of address for bishops, abbreviated Exc.",Epistolae,Excellency,False
This nickname used on Montana license plates is also the name of a popular ski resort,BigSky,Big Sky,True
Number of House seats up for election in 1988,,all of them (435),False
In June he announced he would not seek a second term as president of Austria,Norbert,(Kurt) Waldheim,False
It's another word for the tip you give to a waiter or bellhop,GRATUITY,a gratuity,True
"Uranium or titanium, for example",Elements,an Element,False
Ho Chi Minh is buried in this capital city,Hanoi,Hanoi,True
"2007: ""Growing up and the bumps along the way""",Wonder,Juno,False
"In his ""Devil's Dictionary"", a bore is defined as ""A person who talks when you wish him to listen""",Listeners,Ambrose Bierce,False
"On Easter Sunday 1939, she sang before an audience of 75,000 at the Lincoln Memorial",,Marian Anderson,True
"This Thai capital's traffic was so bad that gas stations sold personal port-a-potties called ""Comfort 100""",BANGKOK,Bangkok,True
Some took flight with this 1970 allegory by Richard Bach; others felt it was bird-brained,Jonathan_Livingston,Jonathan Livingston Seagull,True
Black ribbon streamers on a family's front door were once a sign of this,Mourning,mourning,True
Washington's state fish is the steelhead species of this,Salmon,trout,False
"Reportedly named for a girl who sold it in the streets, Sally Lunn is a sweet variety of this",Bread,bread,True
"According to tradition, this prop used by magicians should be made of hazel wood cut at sunrise",WAND,a wand,True
"Not so great--in 1725, this czar died unable to name a successor; he wrote, ""Give everything to..."" & never finished","Peter I. ""Great"".",Peter the Great,False
In 1906 August von Wassermann developed a well-known test for this sexually transmitted disease,Syphilis,syphilis,True
A girl who cannot give up this hot drink is the odd subject of Cantata No. 211,"""CAFFIENE"".",coffee,False
"Cute as a ""button"" when born around 1735, served in the Georgia assembly, killed in a duel in 1777",AWNSER (Button),Button Gwinnett,False
"A top-grossing animated film of 1961, a live-action remake was released in 1996",AWNSER>1001,101 Dalmatians,False
"Formerly dementia praecox, this term does not mean a patient has more than one personality",Schizophrenia,schizophrenia,True
"On Jan. 1, 2005, a 207-foot train spouting fireworks & a 50-foot robot were highlights of this event",New_York,the Rose Parade,False
Rhett Butler,GONEWITHTHEWIND,Margaret Mitchell,False
"I'm confused, perplexed, absolutely this",CONFOUND,baffled,False
Brides wore a wide variety of colors before that trendsetter Queen Victoria popularized this one in 1840,White,white,True
"Now vice president of the U.S., he was born in Scranton, Pennsylvania in 1942",Kamala,Joe Biden,False
"After Herod died, Joseph, Mary & Jesus left Egypt & returned to this Galiliean city",Nazareth,Nazareth,True
Seen here is the American Sign Language & what could be the international symbol for this restaurant chain,🍔 (McDonald's),McDonald's,True
Hi-yo ___ wedding anniversary,th,Silver,False
Woody Allen won 2 Oscars for this 1977 film,Annie Hall,Annie Hall,True
"""How the firebrand Shi'ite cleric became a major power broker in the new Iraq""",Sadr,Muqtada al-Sadr,True
In 1988 this Conn. attorney general upset incumbent Lowell Weicker for the U.S. Senate; he's been re-elected twice,Lamont,(Joe) Lieberman,False
"""So little done -- so much to do"" were the 1902 last words of this British Empire bulider in Africa",Rhodes,Cecil Rhodes,True
"Beauty in this body part is so valued that a common insult is ""Your mother has an outie""","""NAVEL"".",Navel,True
"In 1950, 3 years after he entered the major leagues, he played himself in his own movie biography",Prime,Jackie Robinson,False
"His poems, chiefly in the Scottish dialect, was first published July 31, 1786, in Kilmarnock",Burns,Robert Burns,True
Lee Majors' role from 1981 to 1986,Six Million Dollar Man,The Fall Guy,False
